iter	Passed	Remaining
127127	100391	6839128128	101193	6832129129	101953	6823130130	102723	6814131131	103402	6799132132	104184	6791133133	104938	6781134134	105700	6772135135	106384	6758136136	107130	6748137137	107859	6737138138	108573	6725139139	109271	6712140140	110049	6704141141	110779	6693142142	111514	6683143143	112315	6676144144	113150	6671145145	113984	6667146146	114927	6668147147	115631	6656148148	116428	6649149149	117184	6640150150	117953	6631151151	118639	6618152152	119436	6611153153	120266	6606154154	121024	6597155155	121864	6593156156	122586	6582157157	123285	6570158158	123971	6557159	124870	655571
160	125581	654427
161	126313	653400
162	127147	652900
163	128214	653583
164	129234	654005
165	130115	653710
166	130826	652565
167	131574	651607
168	132149	649800
169	132805	648402
170	133500	647203
171	134228	646168
172	134927	644998
173	135663	644010
174	136473	643375
175	137099	641876
176	137735	640429
177	138542	639787
178	139214	638520
179	139926	637442
180	140663	636481
181	141333	635223
182	141999	633953
183	142672	632721
184	143315	631363
185	144000	630197
186	144665	628946
187	145204	627159
188	145869	625926
189	146552	624774
190	147204	623500
191	147947	622612
192	148388	620465
193	149005	619064
194	149667	617856
195	150404	616964
196	151213	616368
197	151895	615252
198	152746	614825
199	153513	614053
200	154235	613106
201	154929	612046
202	155654	611118
203	156337	610024
204	157055	609067
205	157839	608371
206	158613	607634
207	159320	606644
208	160022	605635
209	160485	603729
210	161144	602573
211	161890	601742
212	162501	600415
213	163033	598804
214	163643	597489
215	164775	598072
216	165497	597162
217	166177	596104
218	166838	594980
219	167638	594353
220	168394	593573
221	169047	592426
222	169719	591356
223	170433	590430
224	171196	589676
225	171851	588552
226	172571	587655
227	173330	586890
228	174213	586543
229	174925	585620
230	175711	584943
231	176487	584234
232	177244	583461
233	178153	583187
234	179032	582809
235	179797	582057
236	180636	581542
237	181365	580675
238	182052	579673
239	182825	578948
240	183575	578149
241	184360	577459
242	185157	576807
243	185925	576065
244	186672	575254
245	187403	574400
246	188100	573440
247	188906	572811
248	189637	571958
249	190363	571089
250	191057	570129
251	191746	569151
252	192359	567956
253	193051	566993
254	193771	566115
255	194411	565007
256	195075	563972
257	195798	563109
258	196459	562071
259	197133	561072
260	198019	560677
261	198759	559864
262	199555	559210
263	200305	558426
264	200977	557426
265	201691	556548
266	202365	555557
267	203018	554512
268	203625	553345
269	204281	552316
270	204881	551138
271	205544	550132
272	206183	549068
273	206867	548122
274	207468	546961
275	208084	545846
276	208758	544881
277	209409	543862
278	210153	543086
279	210793	542040
280	211358	540808
281	212083	539985
282	212768	539062
283	213461	538163
284	214170	537306
285	215005	536761
286	215689	535842
287	216311	534769
288	217186	534325
289	218004	533735
290	218803	533097
291	219573	532390
292	220437	531908
293	221308	531442
294	222198	531017
295	222932	530218
296	223662	529409
297	224428	528686
298	225398	528442
299	226310	528056
300	227103	527393
301	227767	526429
302	228509	525646
303	229148	524630
304	229884	523835
305	230575	522940
306	231209	521916
307	231840	520889
308	232486	519897
309	233194	519044
310	233807	517985
311	234057	516127
312	234898	515576
313	235729	515000
314	236509	514313
315	237204	513442
316	237853	512473
317	238581	511673
318	239183	510608
319	239914	509819
320	240633	509002
321	241357	508199
322	242044	507318
323	242741	506461
324	243412	505548
325	244098	504669
326	244828	503881
327	245542	503063
328	246273	502278
329	246885	501252
330	247602	500440
331	248280	499552
332	248908	498564
333	249689	497883
334	250424	497110
335	251236	496491
336	251940	495657
337	252640	494816
338	253265	493830
339	253925	492914
340	254612	492051
341	255286	491164
342	256005	490366
343	256662	489448
344	257323	488541
345	258155	487958
346	258792	487007
347	259440	486077
348	260118	485207
349	260833	484404
350	261524	483558
351	262149	482593
352	262743	481572
353	263411	480689
354	264054	479761
355	264732	478898
356	265468	478139
357	266155	477295
358	266771	476324
359	267406	475389
360	268216	474764
361	268872	473868
362	269584	473073
363	270273	472236
364	271089	471620
365	271759	470752
366	272399	469833
367	273036	468910
368	273746	468114
369	274419	467255
370	275067	466355
371	275800	465599
372	276486	464764
373	277265	464086
374	277973	463288
375	278659	462456
376	279483	461852
377	280270	461186
378	281039	460489
379	281817	459807
380	282619	459163
381	283492	458635
382	284198	457834
383	284965	457132
384	285687	456357
385	286428	455614
386	287244	454989
387	287867	454058
388	288532	453195
389	289152	452263
390	289905	451540
391	290574	450687
392	291281	449892
393	291910	448979
394	292566	448108
395	293165	447151
396	293826	446290
397	294480	445419
